menu_date,titre_plat,prix,category,recette,image_url
2024-01-02 12:20:11.291,Plat côté Terre,3300,PLAT,"Veau pané à la japonaise,sauce tonkatsu,salade de choux-vinaigrette sésame, fritters de courgette ,mayonnaise au wasabi.",http://auptitcafe.nc/wp-content/uploads/2024/01/APC-MENU-DU-MARDI00.jpg
2024-01-02 12:20:11.291,Plat côté Mer,3300,PLAT,"Filet de Wahoo croûte beurre-persil-amande,risotto d'épeautre au citron confit-basilic- pistou,cannelloni d'aubergine-courgette-tomate séchée,salade d'herbes,jus perlé.",http://auptitcafe.nc/wp-content/uploads/2024/01/APC-MENU-DU-MARDI01.jpg
2024-01-02 12:20:11.291,Plat Végétarien,2950,PLAT,"Fritters de courgette, risotto d’épeautre au citron confit-pesto basilic, cannelloni d'aubergine-courgette-tomate séchée, salade de choux vinaigrette au sésame.",http://auptitcafe.nc/wp-content/uploads/2024/01/APC-MENU-DU-MARDI02.jpg
2024-01-02 12:20:11.291,Suggestion du mois,2650,PLAT,"Salade mélangée, jambon cru,burrata,pesto de tomate,croûtons,",http://auptitcafe.nc/wp-content/uploads/2023/12/23121203.jpg
2024-01-02 12:20:11.291,Suggestion du soir,3300,PLAT,"Parmentier: bœuf braisé émietté , purée de pomme de terre et patate douce, salade mélangée.",http://auptitcafe.nc/wp-content/uploads/2022/11/VISUEL-PHOTO.jpg
2024-01-02 12:20:11.291,FLAN LIBANAIS,1200,DESSERT,"Flan à la fleur d'oranger,financier,sirop d'érable à l'orange, sorbet citron-charbon actif.",http://auptitcafe.nc/wp-content/uploads/2024/01/APC-MENU-DU-MARDI04.jpg
2024-01-02 12:20:11.291,TARTELETTE,1200,DESSERT,"Pâte brisé, ganache chocolat noir, choux crémeux praliné.",http://auptitcafe.nc/wp-content/uploads/2024/01/APC-MENU-DU-MARDI05.jpg
2024-01-02 12:20:11.291,L'incontournable,1200,DESSERT,"Le cheese-cake maison du p’tit café, à la mangue et au fruit de la passion",http://auptitcafe.nc/wp-content/uploads/2022/11/APC-MENU-DU-MARDI06-scaled.jpg
2024-01-02 12:20:11.291,Le café gourmand,1100,DESSERT,"C’est une bonne alternative, servi avec 3 minis desserts du jour",http://auptitcafe.nc/wp-content/uploads/2023/09/APC-MENU-DU-MARDI06-2.jpg
